median_rent,renter_occ,all_units,one_br,two_br,three_br,multi_rm,county,GPID,NAME
682,158.0,745.0,39.0,4.0,3.0,699.0,Armstrong,8899,"Rayburn township, Armstrong County, Pennsylvania"
526,111.0,484.0,5.0,0.0,25.0,454.0,Armstrong,9020,"Redbank township, Armstrong County, Pennsylvania"
670,113.0,494.0,7.0,5.0,14.0,468.0,Armstrong,8843,"Rural Valley borough, Armstrong County, Pennsylvania"
525,72.0,451.0,0.0,0.0,31.0,420.0,Armstrong,9280,"South Bend township, Armstrong County, Pennsylvania"
525,57.0,222.0,0.0,5.0,21.0,196.0,Armstrong,9239,"South Bethlehem borough, Armstrong County, Pennsylvania"
937,102.0,1155.0,4.0,5.0,23.0,1123.0,Armstrong,8599,"South Buffalo township, Armstrong County, Pennsylvania"
393,57.0,583.0,11.0,13.0,12.0,547.0,Armstrong,9226,"Sugarcreek township, Armstrong County, Pennsylvania"
668,28.0,338.0,0.0,0.0,8.0,330.0,Armstrong,7764,"Valley township, Armstrong County, Pennsylvania"
518,42.0,556.0,14.0,6.0,41.0,495.0,Armstrong,7758,"Washington township, Armstrong County, Pennsylvania"
585,87.0,568.0,11.0,6.0,27.0,524.0,Armstrong,9142,"Wayne township, Armstrong County, Pennsylvania"
693,140.0,782.0,4.0,0.0,16.0,762.0,Armstrong,9077,"West Franklin township, Armstrong County, Pennsylvania"
746,163.0,639.0,0.0,0.0,15.0,624.0,Armstrong,7793,"West Kittanning borough, Armstrong County, Pennsylvania"
814,41.0,297.0,8.0,0.0,8.0,281.0,Armstrong,8359,"Worthington borough, Armstrong County, Pennsylvania"
643,1999.0,5610.0,60.0,47.0,494.0,5009.0,Beaver,8385,"Aliquippa city, Beaver County, Pennsylvania"
697,1648.0,3862.0,190.0,120.0,356.0,3196.0,Beaver,9278,"Ambridge borough, Beaver County, Pennsylvania"
573,568.0,1924.0,0.0,21.0,129.0,1774.0,Beaver,9241,"Baden borough, Beaver County, Pennsylvania"
762,644.0,2300.0,0.0,14.0,277.0,2009.0,Beaver,9025,"Beaver borough, Beaver County, Pennsylvania"
631,1973.0,4105.0,73.0,74.0,424.0,3534.0,Beaver,7932,"Beaver Falls city, Beaver County, Pennsylvania"
596,80.0,801.0,0.0,0.0,28.0,773.0,Beaver,8839,"Big Beaver borough, Beaver County, Pennsylvania"
775,132.0,451.0,0.0,6.0,48.0,397.0,Beaver,8743,"Bridgewater borough, Beaver County, Pennsylvania"
691,420.0,3445.0,29.0,24.0,119.0,3273.0,Beaver,8409,"Brighton township, Beaver County, Pennsylvania"
956,792.0,5044.0,0.0,26.0,282.0,4736.0,Beaver,8141,"Center township, Beaver County, Pennsylvania"
769,433.0,3539.0,27.0,98.0,94.0,3320.0,Beaver,9203,"Chippewa township, Beaver County, Pennsylvania"
547,267.0,1061.0,0.0,25.0,143.0,893.0,Beaver,8746,"Conway borough, Beaver County, Pennsylvania"
645,31.0,92.0,0.0,0.0,2.0,90.0,Beaver,8749,"Darlington borough, Beaver County, Pennsylvania"
653,157.0,835.0,0.0,7.0,21.0,807.0,Beaver,10272,"Darlington township, Beaver County, Pennsylvania"
747,66.0,1289.0,0.0,0.0,11.0,1278.0,Beaver,8431,"Daugherty township, Beaver County, Pennsylvania"
647,119.0,252.0,0.0,0.0,12.0,240.0,Beaver,7887,"East Rochester borough, Beaver County, Pennsylvania"
739,36.0,114.0,3.0,4.0,0.0,107.0,Beaver,8115,"Eastvale borough, Beaver County, Pennsylvania"
700,202.0,4039.0,0.0,34.0,44.0,3961.0,Beaver,8117,"Economy borough, Beaver County, Pennsylvania"
-,62.0,376.0,0.0,0.0,0.0,376.0,Beaver,9111,"Ellwood City borough, Beaver County, Pennsylvania"
738,36.0,115.0,0.0,0.0,2.0,113.0,Beaver,8195,"Fallston borough, Beaver County, Pennsylvania"
1281,9.0,62.0,1.0,0.0,1.0,60.0,Beaver,8091,"Frankfort Springs borough, Beaver County, Pennsylvania"
